tenure_months,monthly_charges,total_charges,country,plan_type,support_calls,signup_date,churn
40,129.98,5199.38,C20,basic,0,2022-04-13,0
20,106.84,2179.98,C03,basic,1,2023-07-06,0
2,21.95,33.31,C24,basic,1,2025-06-08,0
6,46.56,253.98,C07,basic,1,2020-11-26,0
61,114.49,6926.1,C19,basic,2,2025-09-29,0
10,46.45,552.47,C12,basic,2,2023-07-16,0
15,52.44,754.22,C02,premium,3,2024-06-14,0
57,34.32,1984.48,C29,basic,1,2022-01-23,0
52,71.69,3735.82,C16,premium,1,2022-04-10,0
62,107.99,6620.14,C04,basic,1,2023-10-19,0
33,124.96,4162.39,C29,standard,0,2025-10-18,0
26,102.95,2640.85,C25,premium,1,2026-03-31,0
66,38.74,2573.73,C00,standard,1,2022-05-30,0
55,132.28,7298.75,C04,standard,3,2023-09-14,0
4,50.25,188.19,C03,basic,1,2024-09-22,0
63,147.09,9349.41,C10,basic,1,2022-02-05,0
13,130.24,1759.91,C12,standard,2,2025-08-20,0
60,26.21,1566.3,C20,premium,2,2024-05-09,0
14,108.69,1561.09,C22,basic,1,2023-11-30,0
5,21.34,167.78,C18,basic,1,2023-12-07,0
53,58.37,3181.83,C13,premium,1,2022-09-08,0
20,98.45,1951.73,C28,basic,0,2022-01-21,0
46,127.01,5943.92,C11,basic,1,2020-11-26,0
51,64.68,3251.81,C12,premium,1,2025-08-25,0
10,118.24,1120.12,C12,basic,4,2021-12-21,0
25,58.01,1481.73,C28,basic,0,2021-09-11,0
60,137.17,8179.59,C29,basic,3,2021-07-23,0
40,43.78,1835.0,C27,basic,2,2022-02-28,0
12,45.11,444.19,C17,standard,2,2024-10-12,0
65,37.98,2466.59,C21,basic,1,2021-07-15,0
59,116.96,6930.53,C12,premium,1,2026-04-28,0
1,149.06,62.09,C00,enterprise,2,2025-11-12,0
58,74.53,4373.43,C17,premium,1,2023-04-19,0
68,106.38,7157.64,C23,basic,0,2024-08-03,0
37,128.91,4783.9,C03,premium,1,2023-01-11,0
38,148.3,5643.85,C27,premium,0,2022-02-20,0
56,43.29,2433.28,C16,basic,1,2026-01-26,0
69,128.32,8893.61,C15,standard,1,2024-08-21,0
13,25.28,367.29,C25,basic,1,2023-06-05,0
40,85.46,3374.33,C05,standard,0,2026-04-13,0
43,121.18,5160.94,C29,basic,4,2024-05-15,0
40,113.59,4545.7,C05,basic,1,2024-06-30,0
65,50.88,3220.19,C22,basic,1,2021-03-03,0
54,96.74,5288.22,C25,basic,0,2022-11-16,0
55,33.05,1805.7,C19,standard,2,2023-06-02,0
52,38.05,2093.9,C02,standard,3,2022-12-15,0
54,61.41,3342.08,C20,premium,2,2021-07-17,0
15,20.5,273.85,C16,basic,0,2020-07-25,0
36,144.09,5133.06,C29,basic,1,2025-04-20,0
57,126.29,7260.74,C06,standard,2,2023-05-20,0
60,60.57,3468.39,C06,basic,2,2023-01-21,0
24,137.26,3269.14,C09,standard,1,2022-01-21,0
48,90.38,4441.79,C25,basic,1,2025-05-26,0
54,29.85,1605.72,C29,basic,1,2021-05-10,0
6,71.52,460.68,C29,basic,0,2022-10-20,0
14,67.63,943.62,C08,premium,3,2024-06-17,0
44,106.91,4729.5,C21,basic,1,2023-06-17,0
51,136.01,6892.34,C20,standard,1,2023-04-28,0
16,95.08,1522.84,C09,basic,1,2021-09-30,0
37,93.71,3527.6,C23,basic,0,2026-01-22,0
9,32.4,288.96,C19,premium,3,2022-12-20,0
14,21.99,312.14,C08,premium,0,2022-02-04,0
63,61.97,3963.23,C10,basic,0,2024-06-15,0
40,22.6,954.98,C04,premium,2,2021-12-23,0
31,69.22,2153.78,C11,standard,0,2025-08-15,0
8,58.13,422.44,C23,standard,0,2023-02-13,0
8,80.48,587.06,C17,enterprise,1,2023-11-18,0
28,42.45,1197.45,C13,standard,1,2022-10-11,0
38,63.87,2426.46,C25,basic,0,2021-10-20,0
47,25.95,1305.16,C08,standard,0,2022-02-04,0
38,24.21,1077.66,C05,enterprise,1,2024-05-08,0
18,110.65,2073.19,C06,standard,2,2020-10-29,0
56,55.05,3056.41,C13,basic,2,2023-10-03,0
64,42.58,2709.19,C29,standard,0,2023-11-04,0
48,64.04,2991.42,C16,basic,3,2026-04-25,0
