sq_ft,bedrooms,bathrooms,age_years,neighborhood,lot_size,price
1332,3,2,3,rural,11296,314148
1826,3,2,64,downtown,5659,639607
2721,4,3,93,downtown,4824,999773
1863,3,2,46,uptown,5927,862491
1518,3,2,67,suburb,5420,431899
2478,2,2,57,suburb,9213,664681
1118,3,2,4,rural,9311,257693
1601,3,2,96,suburb,8454,412752
2440,3,2,60,suburb,5660,647520
1338,1,1,69,suburb,6735,395163
1955,3,3,56,waterfront,9649,1662748
1758,4,4,55,uptown,8473,807722
2740,3,2,32,suburb,7229,720897
947,4,4,82,suburb,7635,306982
1475,3,2,70,suburb,10028,452536
1605,4,4,8,downtown,5483,647031
2024,4,3,46,suburb,3525,544702
2131,4,3,28,waterfront,5543,10328771
2054,5,5,46,uptown,12279,992515
2651,4,4,96,suburb,4197,666406
2203,4,4,48,suburb,10262,661933
1031,2,2,26,uptown,3286,480222
933,5,4,40,suburb,6688,329120
1478,4,4,31,uptown,8592,725736
1485,2,2,59,waterfront,5458,1254397
1538,3,3,14,downtown,4680,599404
2429,3,2,27,downtown,7826,931056
1421,3,2,16,rural,3469,309412
2465,2,1,34,downtown,9851,906797
2489,3,3,11,suburb,4818,642610
1819,3,2,76,suburb,8057,520117
1487,1,1,87,suburb,4822,365611
2573,3,3,32,downtown,6222,1017777
1293,4,3,61,suburb,6162,406900
2087,4,3,0,suburb,9530,663975
1964,5,5,96,downtown,8342,781673
2578,3,3,7,suburb,3123,678818
2015,1,1,39,suburb,2246,513854
1813,3,2,51,suburb,3038,532133
2433,3,2,91,suburb,4057,588830
1572,2,2,47,suburb,9715,467449
2137,3,3,45,downtown,7046,790402
1880,3,3,25,suburb,9846,587699
1821,3,3,22,downtown,4185,719439
911,3,3,7,suburb,5707,284743
1797,3,2,76,downtown,5217,658914
1193,3,3,2,suburb,1907,385148
2118,2,1,54,uptown,10160,961472
3222,4,4,24,suburb,3280,843233
1664,2,1,95,downtown,2811,580267
2350,4,3,97,suburb,7425,684509
2405,3,3,47,suburb,9630,654589
1109,4,4,3,rural,8952,276942
2225,3,2,13,downtown,8072,862102
1611,2,2,69,downtown,11102,649793
1536,3,2,8,uptown,4739,719533
2292,3,3,53,suburb,1490,606693
1466,4,3,11,suburb,8182,518825
1495,2,1,28,uptown,5474,674562
2255,4,3,62,rural,8419,394319
2574,3,2,42,uptown,12271,1190121
1840,4,4,70,suburb,9755,585572
2200,2,1,4,downtown,7560,844742
949,3,3,89,downtown,4877,373513
1739,4,4,25,suburb,9878,554290
2068,3,3,66,rural,9772,383142
1294,4,4,68,suburb,9011,396548
2187,1,1,53,uptown,7368,981185
1969,2,1,99,uptown,3889,807043
1972,2,1,82,suburb,7424,518944
2511,4,4,68,downtown,10425,931118
2559,4,3,29,suburb,4527,699903
1071,3,2,50,uptown,8518,516970
1407,3,3,68,uptown,12659,693418
2123,3,3,25,rural,8679,397983
1619,2,2,7,rural,8481,299625
2994,4,3,52,uptown,7166,1338791
2464,3,2,42,rural,8912,462933
1308,5,4,3,rural,15931,363792
1346,3,2,79,suburb,4470,363891
1041,3,3,73,suburb,4616,279709
2023,5,4,2,suburb,7636,619960
1437,4,4,88,uptown,3670,634263
1394,2,1,78,rural,4202,202061
1041,3,2,69,uptown,3706,432950
2334,2,1,74,suburb,6665,659855
1352,3,2,28,suburb,1000,357818
1257,3,3,94,rural,4516,211544
668,2,2,62,rural,3111,145415
2043,2,1,90,suburb,5308,546853
1938,3,3,91,uptown,7913,836550
2239,3,2,7,suburb,7900,639351
2661,3,2,16,rural,6814,550599
1924,2,1,50,suburb,8168,538806
1593,4,3,11,suburb,5612,503551
838,2,2,19,waterfront,6270,741707
1865,2,2,40,rural,4228,309258
2012,4,4,84,suburb,6956,560846
1954,4,3,25,rural,5490,375249
632,3,2,97,rural,1497,90459
2541,3,2,11,suburb,6572,649771
2173,3,3,32,uptown,13244,1024779
1566,3,3,28,waterfront,1801,1269116
1630,2,1,34,suburb,6695,414566
648,3,2,36,rural,1129,95149
1994,3,3,74,suburb,11177,526522
1594,3,2,48,suburb,12109,544333
1122,5,5,33,rural,9731,277985
2985,3,2,2,uptown,10954,1360464
2727,4,3,4,suburb,5962,791749
2234,5,5,99,suburb,4416,592593
1787,3,2,12,suburb,2419,508442
1055,4,3,76,suburb,6321,306264
1788,3,2,55,rural,9186,339547
2082,3,3,15,uptown,7818,957212
1735,4,4,34,rural,5792,359041
1779,2,2,86,uptown,11560,799195
1912,4,4,42,rural,2639,270936
1114,3,2,63,suburb,3995,307174
2292,1,1,88,waterfront,9308,1891973
2404,3,3,86,rural,1000,336919
1542,1,1,5,suburb,2633,388856
1383,3,2,60,rural,6086,237829
3072,3,3,20,rural,8304,495046
2485,5,5,56,suburb,8323,692144
500,4,4,74,suburb,10060,192938
1739,4,3,8,uptown,8081,853548
1188,5,4,74,suburb,3648,328911
1253,4,4,39,suburb,5278,400906
1386,5,5,65,uptown,5102,613898
1826,2,2,96,waterfront,8925,1561307
1721,4,3,67,rural,8591,310719
1023,2,2,64,suburb,5150,257394
1148,3,3,15,downtown,1454,475285
564,3,2,3,downtown,7033,256726
1746,4,3,95,suburb,1964,447943
1961,3,2,14,downtown,3255,807579
2317,3,2,71,uptown,6937,1005557
2389,4,4,47,suburb,7219,629222
1859,3,2,4,downtown,4187,715793
1558,3,3,93,suburb,6501,406576
3084,3,2,98,rural,7473,473051
1244,3,2,22,downtown,11703,561502
986,3,3,44,downtown,8676,451330
1523,3,2,80,waterfront,4241,1247462
1917,3,3,59,rural,5079,339289
2610,3,2,54,uptown,7375,1117690
1516,3,2,33,suburb,8911,450012
