pclass,sex,age,siblings,fare,embarked,survived
3,female,39.6,0,12.17,S,1
2,female,30.4,2,0.0,Q,0
3,male,3.0,3,6.7,C,0
3,male,2.1,1,15.81,S,1
1,male,29.3,0,159.14,Q,1
3,male,26.4,3,36.47,C,0
3,male,28.1,1,9.31,S,0
3,female,29.1,0,25.48,C,1
1,male,32.7,0,94.63,S,0
3,male,42.8,0,12.79,Q,0
2,female,13.9,1,28.49,S,1
3,male,13.1,1,14.5,S,0
3,male,14.2,1,14.88,S,1
3,female,33.5,1,10.73,C,0
2,female,46.9,0,1.03,S,1
1,female,23.5,3,0.0,S,0
3,male,0.5,0,19.23,S,0
1,male,5.6,0,63.4,C,0
3,female,17.8,0,9.23,S,1
3,male,,1,14.07,Q,0
3,male,23.8,2,20.36,S,0
2,male,,1,24.71,S,0
3,female,25.1,0,8.75,S,1
3,female,,1,23.81,S,0
3,male,20.0,0,26.63,S,0
1,female,17.4,0,109.67,C,0
3,male,36.2,1,21.79,S,0
1,male,8.0,0,154.52,C,0
1,male,35.0,1,147.81,S,0
3,male,30.9,0,18.91,C,0
3,male,,1,18.79,Q,0
3,male,51.7,1,18.16,C,0
2,female,20.8,0,5.54,S,1
2,male,58.3,0,32.51,C,0
3,female,26.3,0,3.15,S,0
1,female,11.6,1,32.32,S,1
1,male,,0,158.21,S,0
3,female,14.4,0,20.72,S,1
1,male,19.0,1,169.24,C,0
3,male,,1,11.83,S,0
2,female,37.3,0,4.72,C,0
3,female,20.8,0,12.08,S,0
3,male,,0,14.82,C,0
2,male,45.7,2,23.18,S,0
3,male,49.6,0,23.07,S,0
3,female,36.9,1,11.11,S,1
2,male,48.6,0,27.28,Q,0
2,male,3.2,0,7.17,S,0
3,male,25.0,0,17.6,S,0
1,male,17.4,0,80.19,S,1
1,female,31.2,0,35.01,S,1
1,female,21.5,0,65.85,C,1
3,male,,1,12.53,S,0
3,male,55.9,0,11.84,S,1
3,male,27.1,2,28.17,S,0
3,female,35.3,0,13.21,S,1
3,female,,1,12.05,Q,1
3,male,30.6,0,0.0,S,0
1,male,29.6,1,26.35,C,1
1,male,35.8,1,64.22,S,0
3,male,45.8,1,8.51,S,0
3,female,52.6,0,25.05,S,0
3,male,33.8,0,12.68,Q,0
3,male,,0,24.31,S,0
3,female,13.4,1,14.49,S,0
3,male,28.3,0,14.3,S,1
3,male,42.7,2,13.29,S,0
2,male,41.6,0,22.06,Q,0
1,male,32.5,2,183.13,S,0
2,male,,2,0.0,S,0
1,male,,0,0.0,S,0
2,male,46.3,0,13.85,S,1
3,male,33.6,2,14.12,S,0
1,male,24.5,0,121.41,S,0
1,female,34.2,0,108.39,S,0
2,male,0.5,1,16.24,S,1
2,male,34.9,0,37.29,S,0
3,male,0.5,0,22.24,S,0
3,female,5.4,0,15.47,S,0
3,female,35.8,0,21.7,S,1
3,male,36.2,0,16.18,S,0
2,male,13.2,0,13.58,S,0
3,male,19.5,0,19.58,S,0
1,male,48.7,0,86.64,S,1
1,male,22.7,0,80.08,S,0
1,male,60.9,0,168.38,S,1
3,male,29.5,1,0.0,S,0
3,male,35.2,0,2.66,S,0
1,male,52.1,0,8.78,S,0
3,male,31.3,0,11.09,S,0
1,female,15.5,0,64.72,S,1
3,male,28.0,0,1.94,S,1
2,female,29.0,1,7.22,S,0
2,male,10.4,0,9.09,S,0
2,female,25.9,0,58.86,C,1
3,female,19.1,0,28.41,S,1
2,female,42.4,0,15.82,S,0
1,female,30.0,2,58.19,S,1
1,female,25.5,0,11.05,S,0
3,male,28.0,0,0.0,S,0
3,female,32.6,0,13.06,C,0
3,male,38.1,1,6.02,C,0
2,male,15.5,0,20.73,Q,0
3,male,14.9,1,1.2,S,0
3,female,45.0,0,7.9,S,1
3,male,23.7,1,15.19,C,0
2,male,9.7,0,27.49,S,0
2,male,35.7,0,28.26,C,0
1,male,,1,0.77,S,0
3,male,8.1,0,20.84,S,0
3,male,32.7,0,7.6,S,0
1,male,39.8,0,117.97,C,0
2,male,34.7,1,21.84,S,0
3,male,38.3,0,2.99,S,0
1,male,9.8,0,61.03,S,0
3,male,34.1,1,16.92,S,0
3,male,,1,18.9,S,1
3,female,22.7,0,12.87,C,1
2,male,41.7,2,44.98,S,0
3,female,50.2,1,22.06,C,1
3,female,54.6,0,11.95,C,0
3,male,47.9,1,20.0,S,0
1,male,28.0,1,196.03,S,1
2,male,34.4,1,51.41,S,1
1,female,40.2,0,6.32,S,1
3,female,31.2,0,6.59,S,0
2,female,31.3,0,44.27,Q,1
1,male,41.0,0,16.5,Q,0
1,male,28.7,0,0.65,C,0
3,male,19.3,0,10.11,S,0
1,female,23.7,0,105.21,S,1
3,male,38.4,0,13.18,S,1
3,female,29.5,1,8.8,S,1
2,female,34.3,1,11.89,S,1
3,male,38.9,1,8.3,S,0
1,male,24.3,0,27.23,S,0
3,male,40.1,0,32.25,S,0
3,female,34.8,1,16.38,S,1
3,male,12.2,0,21.09,S,0
1,female,,1,50.66,C,1
3,male,,0,12.51,Q,0
3,female,6.3,1,8.29,S,1
3,female,14.9,0,0.0,C,0
3,male,15.2,2,2.98,Q,0
3,female,30.2,1,0.0,S,1
2,female,25.7,0,0.0,S,1
2,female,24.8,0,4.07,S,1
3,male,38.2,0,24.6,S,0
2,male,34.3,1,21.33,C,0
1,male,33.9,0,157.43,S,0
3,male,35.2,0,17.29,S,0
3,male,38.1,0,20.26,S,0
1,male,0.5,1,25.95,S,1
3,male,24.4,1,18.19,C,0
1,male,0.5,0,123.72,S,0
3,male,30.0,1,9.39,S,0
2,female,29.4,0,30.39,S,1
3,female,44.1,2,18.53,S,1
3,male,,0,9.6,S,0
3,male,32.3,0,5.02,S,0
1,female,22.5,1,8.95,S,0
3,male,36.3,0,14.69,S,0
1,male,22.1,0,99.62,C,1
1,male,29.5,1,32.45,S,0
3,female,43.3,1,14.21,S,1
2,male,21.7,1,30.56,S,0
3,female,40.8,0,18.95,C,1
3,female,39.0,2,26.42,S,0
2,male,16.1,0,41.15,S,0
3,female,,2,5.99,S,1
2,female,39.3,0,47.25,S,1
3,male,30.9,1,9.75,C,1
2,male,18.8,1,37.67,S,0
3,male,17.5,0,14.54,C,0
1,male,22.0,3,55.27,C,0
1,male,37.1,0,0.0,S,1
2,female,16.1,1,19.43,C,0
3,male,35.6,1,1.52,S,0
3,male,12.1,2,21.74,C,0
3,female,26.6,0,26.13,S,1
3,male,31.0,1,7.62,S,1
3,female,63.7,0,16.42,S,0
3,female,10.2,0,8.2,S,0
2,male,50.1,1,12.57,S,0
3,male,31.6,0,20.2,Q,0
3,female,35.3,0,13.69,S,0
2,female,31.2,0,48.09,S,0
1,female,,0,51.07,S,1
3,male,27.3,0,21.99,S,0
2,female,49.9,1,23.46,S,1
3,male,23.1,1,20.37,Q,0
1,male,45.4,0,53.17,S,0
1,male,20.5,2,77.03,S,0
3,female,,0,13.08,S,1
1,male,14.5,0,29.84,S,0
1,male,35.9,0,119.72,S,0
3,female,49.7,0,19.2,S,0
3,male,28.4,0,18.75,S,0
1,male,26.7,0,172.22,Q,1
2,male,13.9,0,43.74,S,0
